epoch,train_loss,val_loss,precision,recall,mAP50,mAP50-95,f1_score,rmse_area
76,3.3975,3.7924,0.8943,0.7117,0.8071,0.4812,0.7926,0.0000
77,3.3384,3.9105,0.9082,0.7079,0.7995,0.4555,0.7956,0.0000
78,3.3409,3.9171,0.9014,0.6963,0.7939,0.4510,0.7857,0.0000
79,3.2761,3.6084,0.8795,0.7754,0.8608,0.5160,0.8242,0.0000
80,3.2335,3.9452,0.8781,0.7402,0.8314,0.4690,0.8033,0.0000
81,3.2952,3.7964,0.8884,0.7649,0.8504,0.4837,0.8220,0.0000
82,3.3113,3.9381,0.8670,0.7697,0.8399,0.4564,0.8155,0.0000
83,3.2184,3.6953,0.8935,0.7412,0.8454,0.4985,0.8103,0.0000
84,3.2914,3.7031,0.8575,0.7479,0.8359,0.5027,0.7989,0.0000
85,3.2326,3.8193,0.8954,0.7098,0.8171,0.4769,0.7919,0.0000
86,3.1975,3.9197,0.8938,0.7060,0.8063,0.4641,0.7889,0.0000
87,3.2114,4.0192,0.8860,0.7136,0.8022,0.4580,0.7905,0.0000
88,3.3357,4.0861,0.9042,0.7092,0.7930,0.4602,0.7949,0.0000
89,3.1624,3.9312,0.8599,0.7669,0.8353,0.4660,0.8107,0.0000
90,3.1840,3.7461,0.8687,0.7450,0.8479,0.4990,0.8021,0.0000
91,3.2240,3.9256,0.8649,0.7364,0.8204,0.4689,0.7955,0.0000
92,3.2210,3.7976,0.8963,0.7288,0.8272,0.4859,0.8039,0.0000
93,3.2466,3.8155,0.8873,0.7260,0.8265,0.4804,0.7986,0.0000
94,3.1379,3.9009,0.8817,0.7326,0.8322,0.4662,0.8003,0.0000
95,3.1660,3.9211,0.8774,0.7745,0.8470,0.4702,0.8227,0.0000
96,3.1601,4.0265,0.8739,0.7241,0.8028,0.4649,0.7920,0.0000
97,3.1501,3.7306,0.9026,0.7574,0.8453,0.4997,0.8236,0.0000
98,3.1478,3.6291,0.8800,0.7545,0.8427,0.5128,0.8124,0.0000
99,3.1872,3.9406,0.9118,0.7031,0.8154,0.4741,0.7940,0.0000
100,3.1246,3.8518,0.9022,0.7812,0.8604,0.4842,0.8374,0.0000
101,3.1432,3.8717,0.9167,0.7855,0.8669,0.4826,0.8460,0.0000
102,3.1528,3.8177,0.8477,0.7745,0.8529,0.4886,0.8094,0.0000
103,3.1579,3.6945,0.9023,0.7241,0.8335,0.5062,0.8034,0.0000
104,3.1220,3.8799,0.8767,0.7174,0.8156,0.4739,0.7891,0.0000
